,Epochs,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6
0,1,0.01973002217710018,0.019703198224306107,0.02003360353410244,0.019672296941280365,0.021284548565745354,0.021367641165852547
1,2,0.017368581146001816,0.016985060647130013,0.01756160892546177,0.01727759838104248,0.018664969131350517,0.018373392522335052
2,3,0.01741073653101921,0.01685953699052334,0.017133507877588272,0.017570190131664276,0.018476394936442375,0.01840471476316452
3,4,0.016655290499329567,0.016732169315218925,0.01667938008904457,0.016469210386276245,0.017687536776065826,0.017758579924702644
4,5,0.016041580587625504,0.016188448294997215,0.01648934744298458,0.016486946493387222,0.017838118597865105,0.017519930377602577
5,6,0.016024766489863396,0.015941858291625977,0.01626087725162506,0.01648562401533127,0.01713663525879383,0.01733296737074852
6,7,0.015567529015243053,0.015528633259236813,0.016503917053341866,0.01630111038684845,0.017427727580070496,0.017428386956453323
7,8,0.016025153920054436,0.016210604459047318,0.016117190942168236,0.016084806993603706,0.017316732555627823,0.01724845916032791
8,9,0.015458249486982822,0.0160934180021286,0.016658246517181396,0.016029350459575653,0.017068423330783844,0.01695352979004383
9,10,0.015410251915454865,0.015190583653748035,0.015837155282497406,0.015475820749998093,0.016493994742631912,0.017113273963332176
10,11,0.015082758851349354,0.01480255275964737,0.015441141091287136,0.015570247545838356,0.01602066121995449,0.01660650596022606
11,12,0.01511705107986927,0.015077385120093822,0.015216059982776642,0.015186820179224014,0.01595928706228733,0.01612665317952633
12,13,0.014658769592642784,0.014833402819931507,0.015161189250648022,0.014956917613744736,0.015691613778471947,0.016098598018288612
13,14,0.014587474055588245,0.014849335886538029,0.015249824151396751,0.014889047481119633,0.016035690903663635,0.015893926844000816
14,15,0.014469023793935776,0.014532831497490406,0.014932725578546524,0.015482152812182903,0.015983007848262787,0.015621351078152657
15,16,0.014666370116174221,0.014439903199672699,0.014664200134575367,0.01576150767505169,0.015785232186317444,0.015537746250629425
16,17,0.014306820929050446,0.014490787871181965,0.014633054845035076,0.01554024312645197,0.015552875585854053,0.015685763210058212
17,18,0.014064616523683071,0.014379044994711876,0.015453601256012917,0.015089057385921478,0.015294324606657028,0.015354843810200691
18,19,0.014349786564707756,0.014249817468225956,0.015559128485620022,0.014659442938864231,0.015167489647865295,0.016557946801185608
19,20,0.014209619723260403,0.01421729288995266,0.015414196997880936,0.014325168915092945,0.016322612762451172,0.01543713454157114
20,21,0.014024905860424042,0.014009897597134113,0.014828488230705261,0.014389201067388058,0.01572556421160698,0.01530712004750967
21,22,0.014380143955349922,0.013941291719675064,0.014463596045970917,0.014232432469725609,0.015224765054881573,0.015148576349020004
22,23,0.014352836646139622,0.013802630826830864,0.01449962705373764,0.014340931549668312,0.01512816734611988,0.015066283755004406
23,24,0.013917157426476479,0.01373485941439867,0.014530496671795845,0.014096084982156754,0.01521021593362093,0.015018586069345474
24,25,0.013913631439208984,0.01424332708120346,0.015288391150534153,0.013995579443871975,0.015322481282055378,0.01490536518394947
25,26,0.014148513786494732,0.013965439051389694,0.014300104230642319,0.013977577909827232,0.01487196795642376,0.014762856997549534
26,27,0.013824785128235817,0.013827997259795666,0.014858799986541271,0.014020911417901516,0.014936345629394054,0.014832030050456524
27,28,0.013651047833263874,0.013801961205899715,0.014992523938417435,0.014129712246358395,0.015246914699673653,0.014701277017593384
28,29,0.013553032651543617,0.013626539148390293,0.014309251680970192,0.014035691507160664,0.01493092067539692,0.014989960938692093
29,30,0.014043760485947132,0.013597305864095688,0.014113240875303745,0.01392383687198162,0.014836598187685013,0.014645957387983799
30,31,0.013711681589484215,0.013994957320392132,0.014109790325164795,0.013881281018257141,0.015038839541375637,0.014927331358194351
31,32,0.013632453046739101,0.013831977732479572,0.014001951552927494,0.014564816839993,0.01466344390064478,0.014499044045805931
32,33,0.013661617413163185,0.013770557940006256,0.013991461135447025,0.014345187693834305,0.01477987039834261,0.014471645466983318
33,34,0.014222221449017525,0.013716152869164944,0.013750694692134857,0.013987957499921322,0.014970043674111366,0.014447074383497238
34,35,0.013820836320519447,0.013562852516770363,0.01400649081915617,0.013984599150717258,0.0146400211378932,0.014375317841768265
35,36,0.013794331811368465,0.013320165686309338,0.013879395090043545,0.013569575734436512,0.01502767764031887,0.014852706342935562
36,37,0.01354958675801754,0.013357093557715416,0.013658803887665272,0.013435951434075832,0.01453710813075304,0.01458671409636736
37,38,0.013486065901815891,0.013522799126803875,0.0138026662170887,0.013316257856786251,0.014424601569771767,0.014494839124381542
38,39,0.013616502285003662,0.01337845716625452,0.013909907080233097,0.01326651033014059,0.014470755122601986,0.014276698231697083
39,40,0.01360766775906086,0.013242438435554504,0.013976763002574444,0.01359843835234642,0.014928911812603474,0.014083484187722206
40,41,0.01332113053649664,0.013547994196414948,0.013546277768909931,0.013577021658420563,0.014306428842246532,0.014326986856758595
41,42,0.013132420368492603,0.013374405913054943,0.013596021570265293,0.013804507441818714,0.014255811460316181,0.014472410082817078
42,43,0.013341941870748997,0.013355731032788754,0.01351039670407772,0.013303730636835098,0.014406569302082062,0.014392422512173653
43,44,0.013379151001572609,0.01324379164725542,0.013559209182858467,0.013326739892363548,0.01428917609155178,0.01451199408620596
44,45,0.013241770677268505,0.013382980599999428,0.013700766488909721,0.013667657040059566,0.014606786891818047,0.01394580863416195
45,46,0.013391930609941483,0.013270205818116665,0.013651184737682343,0.013528321869671345,0.014217827469110489,0.013876796700060368
46,47,0.013070927001535892,0.013160314410924911,0.013554571196436882,0.013875270262360573,0.014187496155500412,0.013936715200543404
47,48,0.01301832590252161,0.012930578552186489,0.013435546308755875,0.013246150687336922,0.014209961518645287,0.01382191851735115
48,49,0.013097528368234634,0.012806111946702003,0.013960125856101513,0.013503615744411945,0.014478432945907116,0.014062024652957916
49,50,0.01295821275562048,0.012728952802717686,0.013453222811222076,0.013155492953956127,0.014335839077830315,0.013935945928096771
